"","x"
"1",262.301437520555
"2",262.299851082669
"3",262.419738490584
"4",262.547220550483
"5",262.667180057281
"6",262.786593259254
"7",262.906471590978
"8",263.026388497937
"9",263.146276690861
"10",263.266162199178
"11",263.386049477227
"12",263.505936939938
"13",263.625824293757
"14",263.745711634996
"15",263.865598982924
"16",263.985486331701
"17",264.105373680069
"18",264.225261028379
"19",264.345148376715
"20",264.465035725054
"21",264.584923073392
"22",264.70481042173
"23",264.824697770067
"24",264.944585118405
"25",265.064472466743
"26",265.184359815081
"27",265.304247163418
"28",265.424134511756
